state,tmax,tmin,tmed,date
AC,29.05,23.46,25.35,20200101
AL,31.76,23.12,26.42,20200101
AM,30.86,23.24,26.02,20200101
AP,30.68,21.0,25.4,20200101
BA,31.07,20.76,24.87,20200101
CE,31.68,21.84,25.66,20200101
DF,26.86,19.11,22.02,20200101
ES,32.08,20.09,25.31,20200101
GO,30.86,20.55,24.51,20200101
MA,30.95,23.43,26.24,20200101
MG,32.19,19.93,25.05,20200101
MS,33.78,21.76,26.49,20200101
MT,31.23,22.27,25.6,20200101
PA,29.79,21.95,24.87,20200101
PB,29.42,21.56,24.74,20200101
PE,30.48,21.34,24.87,20200101
PI,30.51,22.15,25.64,20200101
PR,31.2,20.99,25.18,20200101
RJ,33.56,21.1,26.47,20200101
RN,31.04,23.39,26.45,20200101
RO,28.11,22.93,25.15,20200101
RR,31.95,22.4,26.4,20200101
RS,29.5,21.77,25.05,20200101
SC,30.19,19.93,23.67,20200101
SE,31.69,22.76,26.43,20200101
SP,33.87,21.21,26.54,20200101
TO,30.82,22.68,25.54,20200101
AC,31.79,22.12,25.8,20200103
AL,33.82,23.99,28.04,20200103
AM,32.41,22.77,26.66,20200103
AP,30.9,22.08,25.78,20200103
BA,30.16,21.28,24.94,20200103
CE,33.58,23.99,27.73,20200103
DF,28.25,19.17,22.65,20200103
ES,32.15,21.82,25.16,20200103
GO,29.53,20.75,24.27,20200103
MA,31.9,22.96,26.46,20200103
MG,28.79,20.11,23.5,20200103
MS,32.73,22.35,27.3,20200103
MT,30.53,22.56,25.6,20200103
PA,29.68,22.14,25.1,20200103
PB,33.9,22.94,27.41,20200103
PE,32.63,23.04,26.92,20200103
PI,29.99,22.86,25.98,20200103
PR,25.57,19.67,22.34,20200103
RJ,29.52,21.52,24.64,20200103
RN,34.68,24.67,28.83,20200103
RO,30.98,22.46,25.84,20200103
RR,32.78,21.1,26.65,20200103
RS,28.01,17.51,22.32,20200103
SC,25.85,17.7,21.05,20200103
SE,33.4,24.93,28.27,20200103
SP,27.41,20.29,23.09,20200103
TO,30.46,22.48,25.63,20200103
AC,30.53,23.26,25.93,20200104
AL,33.9,24.32,28.26,20200104
AM,32.99,22.93,27.23,20200104
AP,31.16,23.58,25.7,20200104
BA,30.05,21.62,24.87,20200104
CE,33.14,24.1,27.51,20200104
DF,26.08,19.78,21.54,20200104
ES,29.7,22.02,24.9,20200104
GO,27.71,21.47,23.58,20200104
MA,28.15,23.22,24.87,20200104
MG,27.61,20.18,22.9,20200104
MS,32.82,22.27,27.12,20200104
MT,29.95,22.66,25.2,20200104
PA,30.34,22.27,25.49,20200104
PB,33.68,23.41,27.65,20200104
PE,32.3,22.95,26.52,20200104
PI,29.54,22.28,25.26,20200104
PR,27.87,18.43,22.29,20200104
RJ,28.64,21.84,24.42,20200104
RN,34.17,25.07,28.78,20200104
RO,29.54,23.01,24.89,20200104
RR,33.9,21.09,26.96,20200104
RS,29.18,17.92,23.22,20200104
SC,25.05,17.92,20.92,20200104
SE,33.37,25.18,28.53,20200104
SP,29.14,19.26,23.21,20200104
TO,28.46,22.64,24.55,20200104
AC,31.62,22.83,27.0,20200105
AL,32.92,23.76,27.61,20200105
AM,33.39,23.1,27.59,20200105
AP,31.36,22.63,25.93,20200105
BA,29.35,20.53,24.32,20200105
CE,32.66,23.69,27.3,20200105
DF,22.81,18.29,20.32,20200105
ES,32.48,22.07,25.92,20200105
GO,27.47,20.53,23.49,20200105
MA,32.02,22.54,26.29,20200105
MG,27.71,19.82,22.95,20200105
MS,33.34,21.13,27.24,20200105
MT,29.67,22.85,25.38,20200105
PA,30.37,22.51,25.59,20200105
PB,33.11,23.34,27.29,20200105
PE,32.4,22.33,26.52,20200105
PI,31.17,22.22,26.2,20200105
PR,27.95,17.41,22.26,20200105
RJ,29.57,21.87,24.74,20200105
RN,34.07,24.85,28.57,20200105
RO,27.34,23.07,24.88,20200105
RR,33.49,21.91,27.29,20200105
RS,31.58,17.85,24.47,20200105
SC,27.2,16.5,21.49,20200105
SE,32.44,24.49,27.82,20200105
SP,28.57,19.51,22.89,20200105
TO,29.37,22.27,25.23,20200105
AC,33.52,23.05,27.01,20200106
AL,33.68,23.11,27.79,20200106
AM,34.62,23.2,27.85,20200106
AP,31.93,22.77,26.37,20200106
BA,30.88,21.52,25.33,20200106
CE,34.27,23.64,27.78,20200106
DF,26.05,18.87,21.31,20200106
ES,32.87,23.32,26.86,20200106
GO,29.13,21.01,24.0,20200106
MA,30.46,22.98,25.85,20200106
MG,29.93,20.26,23.96,20200106
MS,32.9,22.59,27.04,20200106
MT,30.79,22.7,25.5,20200106
PA,30.13,22.4,25.29,20200106
PB,33.31,23.49,27.49,20200106
PE,33.61,22.94,27.3,20200106
PI,30.97,22.66,26.08,20200106
PR,30.99,18.84,23.61,20200106
RJ,33.16,21.47,25.55,20200106
RN,34.0,25.34,28.74,20200106
RO,31.61,23.08,26.31,20200106
RR,33.19,22.14,26.86,20200106
RS,33.78,20.57,26.12,20200106
SC,30.32,17.74,22.37,20200106
SE,33.44,24.05,27.93,20200106
SP,31.5,19.23,24.09,20200106
TO,28.97,22.53,24.61,20200106
AC,33.38,22.88,27.27,20200107
AL,33.59,23.15,27.44,20200107
AM,34.45,23.32,27.86,20200107
AP,31.68,23.32,26.17,20200107
BA,32.35,21.42,25.67,20200107
CE,33.74,23.82,27.4,20200107
DF,28.12,19.75,22.76,20200107
ES,33.73,23.21,27.09,20200107
GO,29.31,21.3,24.22,20200107
MA,31.36,22.48,25.75,20200107
MG,31.53,20.52,24.79,20200107
MS,30.16,22.96,25.94,20200107
MT,31.51,23.09,25.92,20200107
PA,31.36,22.37,25.68,20200107
PB,34.73,23.24,27.79,20200107
PE,33.85,22.53,27.03,20200107
PI,31.21,22.41,25.68,20200107
PR,27.25,20.26,23.48,20200107
RJ,34.81,21.99,26.83,20200107
RN,35.17,24.35,28.88,20200107
RO,33.38,23.98,27.47,20200107
RR,33.28,21.27,26.71,20200107
RS,30.35,18.72,23.98,20200107
SC,29.09,19.48,23.52,20200107
SE,33.33,23.87,27.63,20200107
SP,31.2,21.12,25.44,20200107
TO,32.1,21.84,25.46,20200107
AC,34.46,22.55,27.08,20200108
AL,33.88,22.56,27.46,20200108
AM,32.97,23.39,27.0,20200108
AP,30.64,23.44,25.94,20200108
BA,32.63,21.54,26.36,20200108
CE,31.86,23.32,26.67,20200108
DF,27.49,19.84,22.86,20200108
ES,32.97,23.53,27.09,20200108
GO,30.4,21.04,24.59,20200108
MA,32.58,23.3,26.79,20200108
MG,31.87,21.14,25.49,20200108
MS,30.55,22.0,24.86,20200108
MT,29.93,22.38,25.07,20200108
PA,30.88,22.63,25.67,20200108
PB,32.97,23.67,27.09,20200108
PE,33.19,22.62,26.82,20200108
PI,31.96,22.65,26.13,20200108
PR,30.01,20.4,23.94,20200108
RJ,33.85,23.27,26.93,20200108
RN,32.25,24.8,27.78,20200108
RO,31.6,23.5,26.68,20200108
RR,33.59,23.1,27.21,20200108
RS,32.33,17.66,24.03,20200108
SC,28.58,19.62,22.81,20200108
SE,33.67,22.41,27.34,20200108
SP,30.5,21.42,24.72,20200108
TO,32.17,22.48,26.27,20200108
AC,32.45,22.37,26.73,20200109
AL,34.5,22.8,27.79,20200109
AM,32.51,23.27,26.66,20200109
AP,31.12,22.71,25.43,20200109
BA,32.7,20.88,26.04,20200109
CE,31.45,22.43,25.75,20200109
DF,28.47,19.1,22.68,20200109
ES,32.66,21.61,26.21,20200109
GO,29.43,21.38,24.43,20200109
MA,32.05,23.64,26.74,20200109
MG,32.11,20.65,25.23,20200109
MS,32.05,23.25,26.51,20200109
MT,30.86,22.31,25.11,20200109
PA,31.4,22.36,25.69,20200109
PB,32.19,22.03,25.89,20200109
PE,34.02,22.45,26.93,20200109
PI,32.06,22.45,26.3,20200109
PR,30.45,21.75,25.19,20200109
RJ,32.78,22.27,26.05,20200109
RN,30.81,22.83,26.19,20200109
RO,31.55,23.35,26.21,20200109
RR,32.18,23.23,26.83,20200109
RS,35.04,20.77,26.82,20200109
SC,31.81,20.37,24.47,20200109
SE,34.41,22.34,27.6,20200109
SP,30.77,21.7,25.01,20200109
TO,31.24,23.08,26.06,20200109
AC,32.72,23.28,26.56,20200110
AL,33.65,23.02,27.57,20200110
AM,32.06,23.06,26.32,20200110
AP,31.37,21.85,25.3,20200110
BA,32.53,20.31,25.69,20200110
CE,31.91,22.52,25.9,20200110
DF,30.81,17.78,22.78,20200110
ES,33.29,21.36,26.16,20200110
GO,32.34,20.65,25.08,20200110
MA,32.42,22.92,26.43,20200110
MG,32.44,20.25,25.33,20200110
MS,33.95,23.92,27.57,20200110
MT,32.97,22.12,25.94,20200110
PA,31.73,22.27,25.84,20200110
PB,32.3,22.72,26.47,20200110
PE,33.5,22.32,26.93,20200110
PI,32.35,22.06,26.07,20200110
PR,30.71,21.61,24.95,20200110
RJ,33.5,22.78,27.15,20200110
RN,32.67,23.88,27.45,20200110
RO,31.9,23.06,26.29,20200110
RR,32.07,22.72,26.43,20200110
RS,31.85,22.31,26.13,20200110
SC,30.78,21.31,24.87,20200110
SE,34.22,23.42,27.9,20200110
SP,31.65,21.48,25.25,20200110
TO,33.76,22.18,26.58,20200110
AC,31.86,23.13,26.45,20200111
AL,34.08,23.29,27.68,20200111
AM,31.28,23.11,26.08,20200111
AP,32.97,21.59,26.1,20200111
BA,33.25,20.56,26.19,20200111
CE,32.68,22.68,26.68,20200111
DF,31.11,19.31,24.41,20200111
ES,34.02,21.58,26.68,20200111
GO,32.93,21.77,26.49,20200111
MA,31.56,23.43,26.56,20200111
MG,32.73,19.9,25.63,20200111
MS,34.28,24.36,28.5,20200111
MT,33.2,22.79,26.62,20200111
PA,30.53,22.43,25.54,20200111
PB,33.65,22.37,26.95,20200111
PE,33.6,22.23,26.96,20200111
PI,32.0,22.57,26.44,20200111
PR,30.05,21.56,24.91,20200111
RJ,35.54,22.99,27.85,20200111
RN,33.91,24.41,28.25,20200111
RO,31.69,23.85,26.53,20200111
RR,32.45,21.68,26.07,20200111
RS,29.75,20.36,23.72,20200111
SC,28.06,20.28,23.25,20200111
SE,34.08,24.1,27.98,20200111
SP,31.85,22.31,26.19,20200111
TO,32.07,23.11,26.79,20200111
AC,30.95,23.17,25.99,20200112
AL,34.34,23.32,27.75,20200112
AM,30.61,23.14,25.96,20200112
AP,29.3,23.21,25.79,20200112
BA,33.76,21.06,26.62,20200112
CE,33.82,22.89,27.25,20200112
DF,31.85,17.27,24.92,20200112
ES,35.51,21.58,27.4,20200112
GO,33.33,20.56,26.15,20200112
MA,31.73,23.07,26.29,20200112
MG,33.91,19.82,26.14,20200112
MS,34.08,23.92,27.88,20200112
MT,32.43,22.37,26.15,20200112
PA,30.03,22.03,25.05,20200112
PB,33.22,21.36,26.77,20200112
PE,33.92,21.68,26.98,20200112
PI,33.76,22.07,26.45,20200112
PR,30.57,21.28,24.66,20200112
RJ,33.18,23.71,27.53,20200112
RN,33.46,22.87,27.89,20200112
RO,27.98,23.29,25.29,20200112
RR,32.45,21.53,26.14,20200112
RS,31.69,20.32,25.23,20200112
SC,29.58,19.53,23.51,20200112
SE,34.65,24.33,28.12,20200112
SP,31.49,22.42,25.99,20200112
TO,32.64,22.4,26.28,20200112
AC,29.47,23.19,25.66,20200113
AL,34.74,22.83,27.88,20200113
AM,30.24,22.78,25.58,20200113
AP,29.46,22.87,25.24,20200113
BA,34.35,21.06,26.94,20200113
CE,34.18,23.03,27.81,20200113
DF,31.81,18.81,25.12,20200113
ES,33.99,22.31,27.34,20200113
GO,32.56,21.17,26.14,20200113
MA,31.91,23.21,26.59,20200113
MG,33.83,20.28,26.3,20200113
MS,31.46,22.85,26.41,20200113
MT,31.81,22.22,25.88,20200113
PA,30.86,21.85,25.25,20200113
PB,34.36,22.0,27.56,20200113
PE,34.74,22.4,27.9,20200113
PI,33.32,22.22,27.13,20200113
PR,28.54,20.87,23.99,20200113
RJ,28.48,23.45,25.2,20200113
RN,34.53,23.49,28.45,20200113
RO,30.02,22.49,25.35,20200113
RR,31.83,21.88,26.38,20200113
RS,31.28,18.45,24.5,20200113
SC,29.05,17.95,22.81,20200113
SE,34.59,23.55,28.14,20200113
SP,29.28,21.3,24.34,20200113
TO,32.44,21.98,26.25,20200113
AC,28.54,22.67,24.77,20200114
AL,34.04,23.38,27.78,20200114
AM,31.6,22.68,25.99,20200114
AP,31.79,22.64,26.37,20200114
BA,34.36,21.1,27.18,20200114
CE,33.82,23.69,27.89,20200114
DF,32.08,19.43,25.28,20200114
ES,29.41,22.9,25.57,20200114
GO,33.76,20.7,26.1,20200114
MA,31.45,22.65,25.89,20200114
MG,32.89,20.6,26.07,20200114
MS,34.23,22.65,27.02,20200114
MT,33.66,21.78,26.23,20200114
PA,31.56,22.03,25.44,20200114
PB,34.6,23.17,27.8,20200114
PE,34.55,22.62,27.91,20200114
PI,33.74,22.6,27.12,20200114
PR,28.32,19.65,23.22,20200114
RJ,27.97,21.86,24.04,20200114
RN,34.67,24.06,28.65,20200114
RO,31.33,22.9,25.8,20200114
RR,33.6,22.97,27.35,20200114
RS,32.66,19.14,25.08,20200114
SC,28.27,17.18,22.02,20200114
SE,34.56,23.84,28.08,20200114
SP,31.12,20.19,24.51,20200114
TO,33.65,21.88,26.46,20200114
AC,31.04,22.24,24.86,20200115
AL,33.98,22.12,27.17,20200115
AM,32.87,22.36,26.34,20200115
AP,30.51,24.05,26.16,20200115
BA,33.88,20.49,26.78,20200115
CE,32.77,23.44,27.17,20200115
DF,31.8,19.33,25.82,20200115
ES,30.51,20.93,24.75,20200115
GO,34.14,21.53,27.13,20200115
MA,32.49,22.68,26.65,20200115
MG,32.39,20.87,25.81,20200115
MS,35.57,23.68,28.6,20200115
MT,34.68,22.12,26.94,20200115
PA,32.35,21.98,25.76,20200115
PB,34.05,22.39,27.55,20200115
PE,34.36,21.76,27.28,20200115
PI,33.59,22.68,27.35,20200115
PR,31.33,20.13,24.35,20200115
RJ,30.41,20.14,24.6,20200115
RN,34.38,24.1,28.73,20200115
RO,32.88,22.59,26.57,20200115
RR,32.74,22.95,26.94,20200115
RS,32.79,22.53,26.58,20200115
SC,29.75,18.64,23.1,20200115
SE,34.12,22.71,27.75,20200115
SP,33.84,20.52,26.12,20200115
TO,34.26,22.91,27.23,20200115
AC,34.4,21.82,25.89,20200116
AL,33.86,22.74,27.43,20200116
AM,32.42,22.75,26.27,20200116
AP,31.87,23.36,26.4,20200116
BA,34.09,20.61,26.81,20200116
CE,33.8,23.23,27.52,20200116
DF,31.94,20.42,25.49,20200116
ES,34.0,21.53,26.5,20200116
GO,34.72,21.96,27.37,20200116
MA,32.94,23.32,27.2,20200116
MG,33.62,20.41,26.08,20200116
MS,36.28,24.24,29.6,20200116
MT,33.73,22.94,27.26,20200116
PA,32.03,22.66,26.11,20200116
PB,34.07,22.33,27.16,20200116
PE,34.24,21.82,27.18,20200116
PI,34.41,22.19,27.49,20200116
PR,31.51,22.32,25.97,20200116
RJ,35.34,21.87,27.1,20200116
RN,34.58,24.38,28.74,20200116
RO,34.6,23.31,27.44,20200116
RR,27.88,22.31,24.76,20200116
RS,24.54,19.14,21.45,20200116
SC,26.35,20.27,22.99,20200116
SE,33.75,23.58,27.79,20200116
SP,34.98,22.2,27.75,20200116
TO,34.47,22.81,27.57,20200116
AC,29.95,22.64,25.93,20200117
AL,33.48,23.23,27.7,20200117
AM,32.07,22.67,26.37,20200117
AP,32.43,23.47,26.67,20200117
BA,34.48,21.07,27.23,20200117
CE,33.19,23.16,27.35,20200117
DF,30.1,20.22,23.98,20200117
ES,32.83,22.97,26.93,20200117
GO,30.8,21.88,25.64,20200117
MA,33.49,23.65,27.54,20200117
MG,31.47,21.07,25.6,20200117
MS,33.8,23.71,27.63,20200117
MT,33.38,21.83,25.93,20200117
PA,32.95,22.77,26.39,20200117
PB,34.06,22.64,27.32,20200117
PE,34.37,22.21,27.63,20200117
PI,34.8,22.04,27.56,20200117
PR,25.86,19.13,21.92,20200117
RJ,29.06,23.84,25.59,20200117
RN,34.06,24.71,28.21,20200117
RO,32.63,22.47,26.02,20200117
RR,32.42,22.19,26.14,20200117
RS,25.8,12.43,18.81,20200117
SC,23.31,14.84,18.39,20200117
SE,33.38,23.54,27.72,20200117
SP,28.09,21.05,24.08,20200117
TO,33.8,23.27,27.54,20200117
AC,32.61,22.04,25.42,20200118
AL,33.91,23.27,27.8,20200118
AM,32.25,23.03,26.37,20200118
AP,31.77,23.69,26.43,20200118
BA,34.26,21.72,27.27,20200118
CE,33.97,23.27,27.7,20200118
DF,28.31,18.57,22.55,20200118
ES,28.92,21.9,24.94,20200118
GO,31.63,20.81,24.88,20200118
MA,32.27,23.11,26.98,20200118
MG,29.69,20.58,24.46,20200118
MS,33.26,22.98,27.04,20200118
MT,34.72,22.66,27.24,20200118
PA,32.16,23.02,26.52,20200118
PB,34.09,22.58,27.14,20200118
PE,34.98,22.93,28.23,20200118
PI,34.3,23.12,28.03,20200118
PR,27.23,17.61,21.68,20200118
RJ,26.33,20.28,22.56,20200118
RN,33.9,23.49,27.63,20200118
RO,34.21,23.63,27.75,20200118
RR,32.32,23.66,26.98,20200118
RS,29.44,15.18,21.24,20200118
SC,25.52,15.44,19.17,20200118
SE,33.81,23.25,27.98,20200118
SP,29.28,18.91,23.45,20200118
TO,34.71,22.76,27.5,20200118
AC,32.93,22.67,26.54,20200119
AL,32.72,23.71,27.56,20200119
AM,31.71,23.13,26.36,20200119
AP,32.28,23.78,26.63,20200119
BA,33.16,21.59,26.83,20200119
CE,32.34,24.15,27.65,20200119
DF,31.31,18.87,24.62,20200119
ES,30.7,21.43,24.91,20200119
GO,33.06,21.62,26.2,20200119
MA,30.06,22.84,25.68,20200119
MG,31.07,20.42,24.82,20200119
MS,34.52,23.08,27.73,20200119
MT,34.68,23.05,27.61,20200119
PA,31.49,22.94,26.08,20200119
PB,33.58,23.07,27.41,20200119
PE,33.49,23.08,27.78,20200119
PI,31.1,23.32,26.75,20200119
PR,29.15,18.16,22.71,20200119
RJ,27.92,20.31,23.57,20200119
RN,33.58,24.06,28.14,20200119
RO,33.86,23.7,27.78,20200119
RR,32.7,22.9,26.97,20200119
RS,32.35,19.23,24.75,20200119
SC,28.16,16.54,20.95,20200119
SE,31.24,23.46,26.91,20200119
SP,30.54,19.89,24.16,20200119
TO,32.83,22.94,26.67,20200119
AC,33.83,23.44,26.81,20200120
AL,33.2,22.56,27.17,20200120
AM,31.77,23.38,26.44,20200120
AP,28.65,23.36,25.33,20200120
BA,34.07,21.34,26.95,20200120
CE,33.39,22.87,27.34,20200120
DF,29.81,20.08,24.06,20200120
ES,29.41,21.46,24.56,20200120
GO,31.55,21.3,25.55,20200120
MA,32.27,22.25,25.97,20200120
MG,30.41,20.67,24.65,20200120
MS,35.08,23.39,28.33,20200120
MT,33.63,22.46,26.36,20200120
PA,31.63,22.91,26.01,20200120
PB,34.03,22.41,27.44,20200120
PE,33.55,22.45,27.11,20200120
PI,32.6,22.21,26.29,20200120
PR,29.83,19.23,23.74,20200120
RJ,25.79,20.56,22.81,20200120
RN,34.55,23.38,28.45,20200120
RO,32.92,23.62,27.05,20200120
RR,33.59,23.44,27.37,20200120
RS,32.26,21.73,26.25,20200120
SC,29.42,17.96,22.24,20200120
SE,33.3,23.51,27.53,20200120
SP,31.02,20.57,24.94,20200120
TO,32.01,22.08,25.9,20200120
AC,32.21,23.4,26.8,20200121
AL,35.06,22.59,27.94,20200121
AM,31.76,23.05,26.23,20200121
AP,29.71,22.87,25.28,20200121
BA,32.1,21.64,26.28,20200121
CE,33.52,23.49,27.6,20200121
DF,28.13,20.4,22.97,20200121
ES,27.51,20.22,22.94,20200121
GO,30.43,21.69,25.02,20200121
MA,31.68,23.44,26.6,20200121
MG,28.51,19.85,23.37,20200121
MS,34.58,23.88,28.44,20200121
MT,33.27,22.96,26.74,20200121
PA,30.55,22.56,25.57,20200121
PB,33.25,23.07,27.14,20200121
PE,34.02,22.5,27.4,20200121
PI,32.77,22.19,26.78,20200121
PR,28.16,18.81,23.27,20200121
RJ,27.05,19.15,22.6,20200121
RN,34.02,24.99,28.41,20200121
RO,31.93,23.5,26.42,20200121
RR,32.85,23.31,27.14,20200121
RS,28.17,21.37,24.0,20200121
SC,25.8,18.98,22.03,20200121
SE,35.01,22.89,28.02,20200121
SP,31.03,18.67,24.24,20200121
TO,32.97,22.47,26.72,20200121
AC,32.73,23.42,26.32,20200122
AL,33.04,24.41,27.72,20200122
AM,32.98,23.21,26.86,20200122
AP,31.73,21.6,25.96,20200122
BA,28.61,21.71,24.61,20200122
CE,32.92,23.66,27.5,20200122
DF,24.68,20.01,21.59,20200122
ES,28.5,20.42,23.61,20200122
GO,27.63,21.35,23.68,20200122
MA,31.19,23.65,26.44,20200122
MG,27.39,19.77,22.9,20200122
MS,30.48,22.73,26.59,20200122
MT,30.79,23.17,25.96,20200122
PA,30.41,22.59,25.56,20200122
PB,32.22,22.26,26.28,20200122
PE,31.42,22.56,26.09,20200122
PI,30.96,23.24,26.39,20200122
PR,23.99,18.82,21.53,20200122
RJ,29.74,18.7,23.71,20200122
RN,33.27,24.23,28.02,20200122
RO,30.81,23.58,26.08,20200122
RR,32.81,22.69,27.14,20200122
RS,25.52,19.77,21.88,20200122
SC,21.33,17.39,19.25,20200122
SE,33.66,24.8,28.15,20200122
SP,28.95,19.26,23.63,20200122
TO,29.48,23.02,25.55,20200122
AC,32.53,23.4,26.5,20200123
AL,31.01,23.44,26.49,20200123
AM,33.45,23.61,27.29,20200123
AP,32.88,20.14,25.57,20200123
BA,26.5,20.78,23.13,20200123
CE,32.74,24.1,27.64,20200123
DF,24.99,19.42,21.21,20200123
ES,26.75,21.63,23.72,20200123
GO,27.55,20.98,23.3,20200123
MA,30.53,23.51,26.03,20200123
MG,24.63,20.17,22.11,20200123
MS,29.16,22.49,25.02,20200123
MT,30.22,22.56,25.07,20200123
PA,30.96,22.43,25.71,20200123
PB,32.26,23.45,26.78,20200123
PE,30.28,22.62,25.71,20200123
PI,27.79,22.05,24.54,20200123
PR,23.23,17.58,20.01,20200123
RJ,26.29,20.94,23.17,20200123
RN,33.66,25.32,28.66,20200123
RO,31.46,22.89,25.76,20200123
RR,33.95,22.64,27.67,20200123
RS,27.69,17.65,21.63,20200123
SC,22.88,16.08,18.09,20200123
SE,31.0,23.17,26.11,20200123
SP,24.94,19.75,21.89,20200123
TO,28.76,22.35,24.46,20200123
AC,31.29,22.91,25.94,20200124
AL,31.72,23.77,26.92,20200124
AM,32.24,23.62,26.75,20200124
AP,31.3,21.52,25.86,20200124
BA,26.87,20.34,22.96,20200124
CE,33.44,23.75,27.7,20200124
DF,24.21,19.78,21.23,20200124
ES,25.06,22.09,23.26,20200124
GO,27.16,21.41,23.38,20200124
MA,31.39,23.32,26.33,20200124
MG,24.91,20.17,21.83,20200124
MS,30.33,22.0,25.11,20200124
MT,31.1,22.66,25.47,20200124
PA,32.53,22.63,26.54,20200124
PB,31.57,23.09,26.29,20200124
PE,30.45,21.69,25.05,20200124
PI,29.56,21.67,24.81,20200124
PR,27.52,17.41,21.35,20200124
RJ,25.39,20.8,22.3,20200124
RN,33.21,25.16,28.58,20200124
RO,33.42,23.64,27.37,20200124
RR,33.8,23.21,27.81,20200124
RS,28.45,16.59,22.03,20200124
SC,26.32,14.89,19.36,20200124
SE,31.22,24.16,26.98,20200124
SP,28.0,19.22,22.48,20200124
TO,28.15,22.49,24.43,20200124
AC,34.43,23.42,27.24,20200125
AL,34.11,24.1,28.41,20200125
AM,32.0,22.7,26.45,20200125
AP,32.49,23.66,26.91,20200125
BA,31.7,21.51,25.3,20200125
CE,35.08,23.92,28.54,20200125
DF,23.3,19.68,20.69,20200125
ES,26.74,21.86,23.68,20200125
GO,27.7,21.01,23.28,20200125
MA,33.72,23.7,27.55,20200125
MG,27.41,19.79,22.51,20200125
MS,33.04,21.41,26.37,20200125
MT,31.7,22.53,25.79,20200125
PA,32.37,23.16,26.81,20200125
PB,33.66,23.03,27.74,20200125
PE,33.88,22.59,27.53,20200125
PI,34.33,22.67,27.34,20200125
PR,29.69,16.47,22.28,20200125
RJ,27.39,20.35,23.02,20200125
RN,34.69,25.07,29.22,20200125
RO,32.93,23.16,27.12,20200125
RR,33.67,22.16,27.39,20200125
RS,30.81,16.35,22.95,20200125
SC,28.68,14.86,20.46,20200125
SE,34.95,24.89,28.71,20200125
SP,30.01,17.32,22.98,20200125
TO,31.51,22.72,25.66,20200125
AC,34.31,23.7,27.81,20200126
AL,35.36,25.34,29.08,20200126
AM,34.31,22.73,27.14,20200126
AP,27.57,23.25,25.19,20200126
BA,29.2,21.9,25.26,20200126
CE,34.1,24.69,28.55,20200126
DF,25.44,19.48,21.06,20200126
ES,27.32,20.7,23.08,20200126
GO,29.15,20.87,23.78,20200126
MA,32.87,24.38,27.71,20200126
MG,28.09,19.48,22.94,20200126
MS,34.64,21.28,27.35,20200126
MT,32.85,22.23,26.01,20200126
PA,31.97,22.66,26.13,20200126
PB,34.62,24.02,28.4,20200126
PE,33.74,24.36,28.23,20200126
PI,32.31,24.01,27.5,20200126
PR,31.84,17.26,23.98,20200126
RJ,29.62,19.12,23.64,20200126
RN,34.87,25.34,29.46,20200126
RO,33.25,23.67,27.5,20200126
RR,33.72,22.52,27.41,20200126
RS,32.44,18.62,24.85,20200126
SC,30.37,15.59,21.99,20200126
SE,35.07,25.47,29.0,20200126
SP,32.2,17.27,24.05,20200126
TO,31.36,22.55,25.58,20200126
AC,34.94,23.61,27.96,20200127
AL,34.16,24.58,28.55,20200127
AM,34.01,23.7,27.66,20200127
AP,28.45,22.51,24.79,20200127
BA,30.63,21.02,24.7,20200127
CE,34.29,23.06,27.27,20200127
DF,27.68,19.2,21.92,20200127
ES,28.52,21.37,23.91,20200127
GO,29.45,20.81,24.08,20200127
MA,29.68,23.06,25.71,20200127
MG,29.21,19.71,23.43,20200127
MS,35.17,22.32,28.13,20200127
MT,32.74,23.07,26.64,20200127
PA,30.35,22.79,25.74,20200127
PB,34.8,23.3,28.3,20200127
PE,33.55,22.6,26.88,20200127
PI,31.09,22.23,25.42,20200127
PR,32.22,18.74,25.15,20200127
RJ,31.34,20.6,25.03,20200127
RN,35.28,25.02,29.5,20200127
RO,33.12,23.51,27.22,20200127
RR,33.83,23.48,27.91,20200127
RS,30.74,20.57,25.16,20200127
SC,30.53,18.04,23.42,20200127
SE,34.23,24.41,28.43,20200127
SP,33.52,17.56,25.01,20200127
TO,28.52,22.35,24.85,20200127
AC,31.75,22.83,26.69,20200128
AL,33.88,24.01,28.02,20200128
AM,32.18,23.49,26.59,20200128
AP,32.63,22.3,26.2,20200128
BA,30.63,21.19,24.91,20200128
CE,31.1,22.69,26.11,20200128
DF,26.73,19.28,21.56,20200128
ES,31.87,21.96,25.43,20200128
GO,28.79,20.61,23.61,20200128
MA,31.4,23.17,26.1,20200128
MG,29.51,20.13,23.7,20200128
MS,34.85,22.39,27.88,20200128
MT,30.45,22.9,25.73,20200128
PA,31.27,22.52,25.65,20200128
PB,34.98,23.32,28.31,20200128
PE,33.43,22.28,27.03,20200128
PI,30.52,21.72,25.31,20200128
PR,32.23,19.71,25.1,20200128
RJ,33.54,21.76,26.63,20200128
RN,35.02,25.32,29.17,20200128
RO,30.07,24.09,26.19,20200128
RR,33.79,23.63,27.42,20200128
RS,30.51,17.8,23.42,20200128
SC,28.33,18.1,22.1,20200128
SE,33.68,24.84,28.16,20200128
SP,33.26,19.04,25.64,20200128
TO,30.57,22.08,24.85,20200128
AC,30.03,22.63,25.41,20200129
AL,33.51,23.45,27.71,20200129
AM,32.97,22.7,26.65,20200129
AP,31.81,24.43,27.36,20200129
BA,32.01,21.14,25.57,20200129
